2017-11-01T08:40:37.426472 tid8812 [IFO,App] Finished rebuilding config group table
2017-11-01T08:40:37.435478 tid8812 [IFO,App] Startup script (C:\Micro-Manager-2.0beta_scanner\MMStartup.bsh) not present
2017-11-01T08:40:37.435478 tid8812 [IFO,App] Updating GUI; config pad = true; from cache = false
2017-11-01T08:40:37.437480 tid8812 [IFO,App] Rebuilding config group table
2017-11-01T08:40:37.437480 tid8812 [IFO,App] Finished rebuilding config group table
2017-11-01T08:40:37.440482 tid8812 [IFO,Core] Did update system state cache
2017-11-01T08:40:37.440482 tid8812 [IFO,App] Finished updating GUI
2017-11-01T08:40:43.185447 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T08:40:43.188449 tid8812 [IFO,Core] Did update system state cache
2017-11-01T08:40:43.188449 tid8812 [IFO,App] Updating GUI; config pad = true; from cache = false
2017-11-01T08:40:43.189450 tid8812 [IFO,App] Rebuilding config group table
2017-11-01T08:40:43.189450 tid8812 [IFO,App] Finished rebuilding config group table
2017-11-01T08:40:43.191451 tid8812 [IFO,Core] Did update system state cache
2017-11-01T08:40:43.191451 tid8812 [IFO,App] Finished updating GUI
2017-11-01T08:40:43.258499 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T08:41:01.553634 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T08:41:01.649703 tid8812 [IFO,Core] Did update system state cache
2017-11-01T08:41:01.649703 tid8812 [IFO,App] Updating GUI; config pad = true; from cache = false
2017-11-01T08:41:01.650704 tid8812 [IFO,App] Rebuilding config group table
2017-11-01T08:41:01.650704 tid8812 [IFO,App] Finished rebuilding config group table
2017-11-01T08:41:01.652705 tid8812 [IFO,Core] Did update system state cache
2017-11-01T08:41:01.652705 tid8812 [IFO,App] Finished updating GUI
2017-11-01T08:41:01.653707 tid8812 [IFO,App] Updating GUI; config pad = true; from cache = false
2017-11-01T08:41:01.653707 tid8812 [IFO,App] Rebuilding config group table
2017-11-01T08:41:01.653707 tid8812 [IFO,App] Finished rebuilding config group table
2017-11-01T08:41:01.655708 tid8812 [IFO,Core] Did update system state cache
2017-11-01T08:41:01.655708 tid8812 [IFO,App] Finished updating GUI
2017-11-01T08:41:02.083014 tid8812 [IFO,App] Updating GUI; config pad = true; from cache = false
2017-11-01T08:41:02.083014 tid8812 [IFO,App] Rebuilding config group table
2017-11-01T08:41:02.083014 tid8812 [IFO,App] Finished rebuilding config group table
2017-11-01T08:41:02.086017 tid8812 [IFO,Core] Did update system state cache
2017-11-01T08:41:02.086017 tid8812 [IFO,App] Finished updating GUI
2017-11-01T08:41:02.096024 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T08:41:02.521329 tid8812 [IFO,App] Updating GUI; config pad = true; from cache = false
2017-11-01T08:41:02.521329 tid8812 [IFO,App] Rebuilding config group table
2017-11-01T08:41:02.521329 tid8812 [IFO,App] Finished rebuilding config group table
2017-11-01T08:41:02.524331 tid8812 [IFO,Core] Did update system state cache
2017-11-01T08:41:02.524331 tid8812 [IFO,App] Finished updating GUI
2017-11-01T08:41:02.535339 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T08:41:02.961645 tid8812 [IFO,App] Updating GUI; config pad = true; from cache = false
2017-11-01T08:41:02.961645 tid8812 [IFO,App] Rebuilding config group table
2017-11-01T08:41:02.961645 tid8812 [IFO,App] Finished rebuilding config group table
2017-11-01T08:41:02.964648 tid8812 [IFO,Core] Did update system state cache
2017-11-01T08:41:02.964648 tid8812 [IFO,App] Finished updating GUI
2017-11-01T08:41:02.974655 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T08:46:07.330358 tid5428 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T10:05:14.314762 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T10:15:20.785319 tid3260 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T11:26:13.488546 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T11:26:53.325146 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
